20250701 062100;22837.25;22838.25;22836.75;22837.75;14
20250701 062200;22837;22837;22833.5;22835.25;44
20250701 062300;22835.5;22839.5;22835.5;22839.5;33
20250701 062400;22839.25;22839.25;22837;22837;25
20250701 062500;22836;22836.75;22834.5;22836.25;42
20250701 062600;22836.5;22839;22836.25;22837.75;19
20250701 062700;22838;22842.25;22837.25;22841.25;71
20250701 062800;22840.5;22842.25;22836.75;22836.75;89
20250701 062900;22837;22837;22835;22836.5;27
20250701 063000;22836.25;22838.25;22835;22835;21
20250701 063100;22836.25;22837.25;22830.25;22835.5;165
20250701 063200;22835;22840.75;22834.25;22838.5;80
20250701 063300;22838;22839.25;22837;22837.5;32
20250701 063400;22837.5;22838.25;22835.75;22836.75;32
20250701 063500;22836.25;22837.25;22836;22837;25
20250701 063600;22836.75;22839.75;22836;22839.75;59
20250701 063700;22840.25;22840.5;22834;22835;34
20250701 063800;22835;22839.5;22835;22838.25;48
20250701 063900;22839;22840.25;22837.25;22838.25;31
20250701 064000;22838.5;22840.5;22838.25;22838.25;31
20250701 064100;22838.25;22840.75;22838.25;22839.75;16
20250701 064200;22839.75;22843.5;22839.75;22843.25;47
20250701 064300;22843;22843.25;22840.75;22841.5;49
20250701 064400;22840.5;22841.5;22838.5;22840;29
20250701 064500;22840;22840;22836.75;22838;26
20250701 064600;22837.75;22837.75;22834;22837;49
20250701 064700;22836.75;22838.75;22835.75;22837.25;29
20250701 064800;22836.25;22839.25;22836.25;22838.75;23
20250701 064900;22838.5;22838.5;22836.25;22836.25;37
20250701 065000;22836.25;22836.25;22829.75;22832;131
20250701 065100;22832.5;22836;22832;22835;79
20250701 065200;22835.75;22840.25;22835.25;22840;94
20250701 065300;22840.5;22842.75;22838;22838.5;61
20250701 065400;22838.75;22844.5;22838;22844.5;54
20250701 065500;22844;22844;22841.25;22841.75;40
20250701 065600;22841.5;22844;22841;22843.5;52
20250701 065700;22843;22846.5;22843;22844.5;59
20250701 065800;22844.5;22844.5;22841.25;22841.75;29
20250701 065900;22842.25;22843.75;22840;22841.75;42
20250701 070000;22841;22842;22839;22840.5;48
20250701 070100;22841;22852.75;22840.5;22851.5;309
20250701 070200;22850.75;22855;22850.5;22853.25;117
20250701 070300;22852.5;22854.75;22848.75;22849.75;78
20250701 070400;22849;22855.5;22847;22855.25;127
20250701 070500;22855;22863.5;22854.5;22862.75;210
20250701 070600;22862.5;22865.75;22855.5;22857.75;302
20250701 070700;22857;22857.25;22852.75;22855;92
20250701 070800;22855.25;22855.5;22851.25;22854.75;66
20250701 070900;22854;22857;22853.75;22856;61
20250701 071000;22856.25;22857.25;22855.5;22857.25;52
20250701 071100;22856.75;22857.25;22851;22855;71
20250701 071200;22855.5;22855.5;22849.75;22849.75;62
20250701 071300;22850.75;22853.25;22847.75;22851;109
20250701 071400;22851.25;22852.5;22849.75;22851.25;55
20250701 071500;22850.5;22850.5;22841.75;22841.75;129
